Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4.(1D<2>).4f""","=""2[3]*""","=""5/2""","=""""","=""19.492923""","=""""","=""""","=""0.01469""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""9/2""","=""""","=""19.517168""","=""""","=""""","=""0.02425""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""7/2""","=""""","=""19.519158""","=""""","=""""","=""0.00199""","=""""","=""L6925"""
"=""5s2.5p4.(3P<0>).5g""","=""2[4]""","=""7/2""","=""""","=""19.789999""","=""""","=""""","=""0.27084""","=""""","=""L6925"""
"=""5s2.5p4.(3P<0>).5g""","=""2[4]""","=""9/2""","=""""","=""19.790053""","=""""","=""""","=""0.00005""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7g""","=""2[5]""","=""11/2""","=""""","=""19.855316""","=""""","=""""","=""0.06526""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7g""","=""2[6]""","=""13/2""","=""""","=""19.85767""","=""""","=""""","=""0.00235""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).7g""","=""2[6]""","=""11/2""","=""""","=""19.85783""","=""""","=""""","=""0.0002""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).5g""","=""2[3]""","=""5/2""","=""""","=""19.990973""","=""""","=""""","=""0.13314""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).5g""","=""2[3]""","=""7/2""","=""""","=""19.990991""","=""""","=""""","=""0.00002""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).5g""","=""2[5]""","=""11/2""","=""""","=""19.993376""","=""""","=""""","=""0.00239""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).5g""","=""2[4]""","=""7/2""","=""""","=""20.005365""","=""""","=""""","=""0.01199""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).5g""","=""2[4]""","=""9/2""","=""""","=""20.00545""","=""""","=""""","=""0.00008""","=""""","=""L6925"""
"=""Xe III (5s2.5p4 3P<2>)""","=""Limit""","=""---""","=""[""","=""20.975""","=""]""","=""0.004""","=""""","=""""","=""L6925"""
"=""Xe III (5s2.5p4 3P<0>)""","=""Limit""","=""---""","=""""","=""21.9830""","=""""","=""""","=""""","=""""","="""""
"=""Xe III (5s2.5p4 3P<1>)""","=""Limit""","=""---""","=""""","=""22.1893""","=""""","=""""","=""""","=""""","="""""
