Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""6s.12p""","=""3P*""","=""2""","=""""","=""5.009789""","=""""","=""""","=""0.00137""","=""""","=""L4542"""
"=""6s.11d""","=""3D""","=""1""","=""""","=""5.009880""","=""""","=""""","=""0.00009""","=""""","=""L5587"""
"=""6s.11d""","=""3D""","=""2""","=""""","=""5.010649""","=""""","=""""","=""0.00077""","=""""","=""L4030"""
"=""6s.11d""","=""3D""","=""3""","=""""","=""5.011864""","=""""","=""""","=""0.00122""","=""""","=""L5587"""
"=""6s.12p""","=""1P*""","=""1""","=""""","=""5.012517""","=""""","=""""","=""0.00065""","=""""","=""L4542"""
"=""6s.11d""","=""1D""","=""2""","=""""","=""5.019325""","=""""","=""""","=""0.00681""","=""""","=""L4030"""
"=""6s.13s""","=""3S""","=""1""","=""""","=""5.029916""","=""""","=""""","=""0.01059""","=""""","=""L5587"""
"=""6s.9f""","=""3F*""","=""2""","=""""","=""5.035478""","=""""","=""""","=""0.00556""","=""""","=""L4542"""
"=""6s.13s""","=""1S""","=""0""","=""""","=""5.036015""","=""""","=""""","=""0.00054""","=""""","=""L4030"""
"=""5d.4f""","=""(5/2,7/2)*""","=""1""","=""""","=""5.041552""","=""""","=""""","=""0.00554""","=""""","=""L4542"""
"=""6s.9g""","=""3G""","=""3""","=""""","=""5.041687""","=""""","=""""","=""0.00013""","=""""","=""L5587"""
"=""6s.9g""","=""3G""","=""5""","=""""","=""5.041887""","=""u""","=""""","=""0.00020""","=""""","=""L5587"""
"=""6s.9g""","=""3G""","=""4""","=""""","=""5.041887""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.9g""","=""1G""","=""4""","=""""","=""5.041887""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""5d.7d""","=""3D""","=""1""","=""""","=""5.044224""","=""""","=""""","=""0.00234""","=""""","=""L5587"""
"=""5d.7d""","=""3D""","=""2""","=""""","=""5.071663""","=""""","=""""","=""0.02744""","=""""","=""L5587"""
"=""5d.7d""","=""3D""","=""3""","=""""","=""5.140308""","=""""","=""""","=""0.06865""","=""""","=""L5587"""
"=""5d.7d""","=""3G""","=""3""","=""""","=""5.045983""","=""""","=""""","=""-0.09433""","=""""","=""L5587"""
"=""5d.7d""","=""3G""","=""4""","=""""","=""5.080166""","=""""","=""""","=""0.03418""","=""""","=""L5587"""
"=""5d.7d""","=""3G""","=""5""","=""""","=""5.151579""","=""""","=""""","=""0.07141""","=""""","=""L5587"""
"=""6s.13p""","=""3P*""","=""1""","=""""","=""5.050126""","=""""","=""""","=""-0.10145""","=""""","=""L4542"""
"=""6s.13p""","=""3P*""","=""2""","=""""","=""5.051334""","=""""","=""""","=""0.00121""","=""""","=""L4542"""
"=""5d.4f""","=""(5/2,5/2)*""","=""1""","=""""","=""5.050721""","=""""","=""""","=""-0.00061""","=""""","=""L4542"""
"=""6s.12d""","=""3D""","=""1""","=""""","=""5.05144""","=""""","=""""","=""0.00072""","=""""","=""L5587"""
"=""6s.12d""","=""3D""","=""2""","=""""","=""5.052109""","=""""","=""""","=""0.00067""","=""""","=""L4030"""
"=""6s.12d""","=""3D""","=""3""","=""""","=""5.052133""","=""""","=""""","=""0.00002""","=""""","=""L5587"""
"=""6s.13p""","=""1P*""","=""1""","=""""","=""5.054244""","=""""","=""""","=""0.00211""","=""""","=""L4542"""
"=""6s.12d""","=""1D""","=""2""","=""""","=""5.056253""","=""""","=""""","=""0.00201""","=""""","=""L4030"""
"=""5d.7d""","=""1F""","=""3""","=""""","=""5.066901""","=""""","=""""","=""0.01065""","=""""","=""L5587"""
"=""6s.14s""","=""3S""","=""1""","=""""","=""5.06720""","=""""","=""""","=""0.00030""","=""""","=""L5587"""
"=""6s.14s""","=""1S""","=""0""","=""""","=""5.069909""","=""""","=""""","=""0.00271""","=""""","=""L4030"""
"=""5d.8p""","=""3D*""","=""1""","=""""","=""5.070180""","=""""","=""""","=""0.00027""","=""""","=""L4542"""
"=""6s.10f""","=""3F*""","=""2""","=""""","=""5.070351""","=""""","=""""","=""0.00017""","=""""","=""L4542"""
"=""6s.10g""","=""3G""","=""4""","=""""","=""5.074104""","=""""","=""""","=""0.00375""","=""""","=""L5587"""
"=""6s.10g""","=""3G""","=""5""","=""""","=""5.074273""","=""u""","=""""","=""0.00017""","=""""","=""L5587"""
"=""6s.10g""","=""3G""","=""3""","=""""","=""5.074273""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.10g""","=""1G""","=""4""","=""""","=""5.074273""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.14p""","=""3P*""","=""1""","=""""","=""5.080085""","=""""","=""""","=""0.00581""","=""""","=""L4542"""
"=""6s.14p""","=""3P*""","=""2""","=""""","=""5.081227""","=""""","=""""","=""0.00114""","=""""","=""L4542"""
"=""6s.13d""","=""3D""","=""1""","=""""","=""5.081168""","=""""","=""""","=""-0.00006""","=""""","=""L5587"""
"=""6s.13d""","=""3D""","=""3""","=""""","=""5.081768""","=""""","=""""","=""0.00060""","=""""","=""L5587"""
"=""6s.13d""","=""3D""","=""2""","=""""","=""5.081774""","=""""","=""""","=""0.00001""","=""""","=""L4030"""
"=""6s.14p""","=""1P*""","=""1""","=""""","=""5.082265""","=""""","=""""","=""0.00049""","=""""","=""L4542"""
"=""6s.13d""","=""1D""","=""2""","=""""","=""5.084309""","=""""","=""""","=""0.00204""","=""""","=""L4030"""
"=""5d.7d""","=""3S""","=""1""","=""""","=""5.085779""","=""""","=""""","=""0.00147""","=""""","=""L5587"""
"=""6s.15s""","=""3S""","=""1""","=""""","=""5.093550""","=""""","=""""","=""0.00777""","=""""","=""L5587"""
"=""5d.8p""","=""3P*""","=""0""","=""""","=""5.093757""","=""""","=""""","=""0.00021""","=""""","=""L4542"""
"=""5d.8p""","=""3P*""","=""1""","=""""","=""5.095403""","=""""","=""""","=""0.00165""","=""""","=""L4542"""
"=""5d.8p""","=""3P*""","=""2""","=""""","=""5.177571""","=""""","=""""","=""0.08217""","=""""","=""L4542"""
"=""6s.15s""","=""1S""","=""0""","=""""","=""5.094883""","=""""","=""""","=""-0.08269""","=""""","=""L4030"""
"=""6s.11f""","=""3F*""","=""2""","=""""","=""5.09584""","=""""","=""""","=""0.00096""","=""""","=""L4542"""
"=""6s.11g""","=""1G""","=""4""","=""""","=""5.098134""","=""u""","=""""","=""0.00229""","=""""","=""L5587"""
"=""6s.11g""","=""3G""","=""5""","=""""","=""5.098134""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.11g""","=""3G""","=""3""","=""""","=""5.098134""","=""u""","=""""","=""0.00000""","=""""","=""L5587"""
"=""6s.11g""","=""3G""","=""4""","=""""","=""5.098229""","=""""","=""""","=""0.00009""","=""""","=""L5587"""
"=""6s.15p""","=""3P*""","=""1""","=""""","=""5.103169""","=""""","=""""","=""0.00494""","=""""","=""L4542"""
"=""6s.15p""","=""3P*""","=""2""","=""""","=""5.103456""","=""""","=""""","=""0.00029""","=""""","=""L4542"""
"=""6s.14d""","=""1D""","=""2""","=""""","=""5.103491""","=""""","=""""","=""0.00003""","=""""","=""L4030"""
