Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""","=""""","=""15.3791364""","=""""","=""""","=""0.013047""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""","=""""","=""15.379156""","=""""","=""""","=""0.000020""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[9/2]""","=""5""","=""""","=""15.3798185""","=""""","=""""","=""0.000663""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[9/2]""","=""4""","=""""","=""15.3798220""","=""""","=""""","=""0.000004""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[5/2]""","=""3""","=""""","=""15.3804103""","=""""","=""""","=""0.000588""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""","=""""","=""15.3804419""","=""""","=""""","=""0.000032""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[5/2]*""","=""2""","=""""","=""15.380867""","=""""","=""""","=""0.000425""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[5/2]*""","=""3""","=""""","=""15.380867""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[11/2]*""","=""5""","=""""","=""15.381105""","=""""","=""""","=""0.00024""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[11/2]*""","=""6""","=""""","=""15.381105""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[7/2]""","=""3""","=""""","=""15.3812605""","=""""","=""""","=""0.000155""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6f""","=""2[7/2]""","=""4""","=""""","=""15.3812616""","=""""","=""""","=""0.000001""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[7/2]*""","=""3""","=""""","=""15.381548""","=""""","=""""","=""0.000286""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[7/2]*""","=""4""","=""""","=""15.381548""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[9/2]*""","=""4""","=""""","=""15.38180""","=""""","=""""","=""0.00025""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6g""","=""2[9/2]*""","=""5""","=""""","=""15.38180""","=""""","=""""","=""0.0000""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5f""","=""2[7/2]""","=""3""","=""""","=""15.3908614""","=""""","=""""","=""0.00906""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5f""","=""2[7/2]""","=""4""","=""""","=""15.3908650""","=""""","=""""","=""0.000004""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5f""","=""2[5/2]""","=""3""","=""""","=""15.3910530""","=""""","=""""","=""0.000188""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5f""","=""2[5/2]""","=""2""","=""""","=""15.3910805""","=""""","=""""","=""0.000027""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""","=""""","=""15.392423""","=""""","=""""","=""0.001343""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""","=""""","=""15.392423""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""","=""""","=""15.392452""","=""""","=""""","=""0.00003""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""","=""""","=""15.392452""","=""""","=""""","=""0.00000""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""","=""""","=""15.412684""","=""""","=""""","=""0.02023""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","=""""","=""15.428512""","=""""","=""""","=""0.01583""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""","=""""","=""15.417314""","=""""","=""""","=""-0.01120""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""","=""""","=""15.418289""","=""""","=""""","=""0.00098""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""","=""""","=""15.420697""","=""""","=""""","=""0.00241""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""","=""""","=""15.421298""","=""""","=""""","=""0.00060""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""","=""""","=""15.4393425""","=""""","=""""","=""0.018045""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","=""""","=""15.4428362""","=""""","=""""","=""0.003494""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""","=""""","=""15.4489134""","=""""","=""""","=""0.006077""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""","=""""","=""15.471767""","=""""","=""""","=""0.022854""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""","=""""","=""15.4496531""","=""""","=""""","=""-0.022114""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""","=""""","=""15.4545665""","=""""","=""""","=""0.004913""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7p""","=""2[3/2]""","=""1""","=""""","=""15.453818""","=""""","=""""","=""-0.000749""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7p""","=""2[3/2]""","=""2""","=""""","=""15.455677""","=""""","=""""","=""0.00186""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7p""","=""2[1/2]""","=""1""","=""""","=""15.454748""","=""""","=""""","=""-0.00093""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).7p""","=""2[1/2]""","=""0""","=""""","=""15.4670046""","=""""","=""""","=""0.012257""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""","=""""","=""15.4598316""","=""""","=""""","=""-0.007173""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""","=""""","=""15.4626994""","=""""","=""""","=""0.002868""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""","=""""","=""15.469706""","=""""","=""""","=""0.007007""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""","=""""","=""15.471072""","=""""","=""""","=""0.00137""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""","=""""","=""15.4803122""","=""""","=""""","=""0.009240""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""","=""""","=""15.480336""","=""""","=""""","=""0.000024""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7f""","=""2[9/2]""","=""5""","=""""","=""15.4807417""","=""""","=""""","=""0.000406""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7f""","=""2[9/2]""","=""4""","=""""","=""15.4807433""","=""""","=""""","=""0.000002""","=""""","="""""
