Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""","=""""","=""11.917705""","=""""","=""""","=""0.00168""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[7/2]""","=""3""","=""""","=""11.916266""","=""""","=""""","=""-0.00144""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).8f""","=""2[7/2]""","=""4""","=""""","=""11.916275""","=""""","=""""","=""0.00001""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12p""","=""2[1/2]""","=""1""","=""[""","=""11.93715""","=""]""","=""""","=""0.02088""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12p""","=""2[1/2]""","=""0""","=""""","=""11.944367""","=""""","=""""","=""0.00722""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12p""","=""2[5/2]""","=""2""","=""""","=""11.93869""","=""""","=""""","=""-0.00568""","=""""","=""L10346"""
"=""5p5.(2P*<3/2>).12p""","=""2[5/2]""","=""3""","=""""","=""11.939548""","=""""","=""""","=""0.00086""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""","=""""","=""11.940251""","=""""","=""""","=""0.00070""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""","=""""","=""11.941558""","=""""","=""""","=""0.00131""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12p""","=""2[3/2]""","=""1""","=""""","=""11.940529""","=""""","=""""","=""-0.00103""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).12p""","=""2[3/2]""","=""2""","=""""","=""11.941276""","=""""","=""""","=""0.00075""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""","=""""","=""11.942350""","=""""","=""""","=""0.00107""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""","=""""","=""11.9439532""","=""""","=""""","=""0.001603""","=""1.082""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""","=""""","=""11.943227""","=""""","=""""","=""-0.000726""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""","=""""","=""11.955024""","=""""","=""""","=""0.01180""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""","=""""","=""11.945633""","=""""","=""""","=""-0.00939""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""","=""""","=""11.946939""","=""""","=""""","=""0.00131""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9f""","=""2[3/2]""","=""1""","=""""","=""11.959842""","=""""","=""""","=""0.01290""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9f""","=""2[3/2]""","=""2""","=""""","=""11.959921""","=""""","=""""","=""0.00008""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9f""","=""2[9/2]""","=""5""","=""""","=""11.960214""","=""""","=""""","=""0.00029""","=""""","=""L3466"""
